duration_ms,Spotify Popularity
123000.0,61.0
132000.0,77.0
214000.0,16.0
143000.0,84.0
140000.0,79.0
164000.0,70.0
169000.0,0.0
236000.0,72.0
237000.0,69.0
131000.0,77.0
132000.0,81.0
194000.0,84.0
250000.0,73.0
187000.0,74.0
169000.0,73.0
258000.0,0.0
123000.0,68.0
213000.0,70.0
146000.0,79.0
239000.0,73.0
206000.0,85.0
270000.0,75.0
157000.0,73.0
201000.0,68.0
190000.0,71.0
247000.0,59.0
171000.0,87.0
272000.0,69.0
209000.0,74.0
207000.0,77.0
136000.0,45.0
246000.0,0.0
322000.0,0.0
338000.0,72.0
232000.0,69.0
224000.0,74.0
177000.0,73.0
159000.0,0.0
184000.0,41.0
182000.0,86.0
210000.0,71.0
172000.0,68.0
208000.0,0.0
144000.0,68.0
99000.0,64.0
250000.0,80.0
261000.0,87.0
90000.0,74.0
191000.0,67.0
218000.0,87.0
187000.0,76.0
196000.0,76.0
188000.0,76.0
186000.0,74.0
154000.0,71.0
261000.0,74.0
148000.0,74.0
217000.0,80.0
294000.0,78.0
221000.0,79.0
301000.0,68.0
224000.0,69.0
135000.0,77.0
166000.0,74.0
206000.0,80.0
157000.0,0.0
159000.0,76.0
208000.0,42.0
178000.0,64.0
190000.0,75.0
233000.0,15.0
242000.0,80.0
183000.0,72.0
219000.0,84.0
324000.0,0.0
172000.0,67.0
191000.0,81.0
213000.0,83.0
210000.0,68.0
224000.0,78.0
187000.0,0.0
235000.0,75.0
157000.0,68.0
205000.0,80.0
193000.0,65.0
178000.0,42.0
213000.0,0.0
198000.0,75.0
236000.0,76.0
165000.0,77.0
215000.0,61.0
261000.0,0.0
174000.0,82.0
113000.0,0.0
209000.0,68.0
306000.0,75.0
125000.0,0.0
93000.0,76.0
184000.0,79.0
161000.0,68.0
163000.0,0.0
188000.0,80.0
156000.0,81.0
194000.0,79.0
207000.0,73.0
198000.0,0.0
200000.0,0.0
156000.0,77.0
207000.0,76.0
209000.0,65.0
246000.0,81.0
155000.0,80.0
218000.0,69.0
165000.0,76.0
139000.0,77.0
162000.0,73.0
207000.0,78.0
175000.0,78.0
169000.0,68.0
155000.0,2.0
212000.0,65.0
200000.0,70.0
201000.0,42.0
278000.0,84.0
178000.0,88.0
170000.0,0.0
233000.0,82.0
164000.0,78.0
188000.0,70.0
202000.0,0.0
166000.0,57.0
241000.0,67.0
224000.0,70.0
211000.0,82.0
231000.0,76.0
215000.0,63.0
177000.0,80.0
203000.0,69.0
170000.0,0.0
159000.0,84.0
295000.0,0.0
172000.0,64.0
186000.0,74.0
244000.0,74.0
217000.0,78.0
166000.0,41.0
166000.0,70.0
237000.0,78.0
228000.0,82.0
170000.0,81.0
232000.0,75.0
170000.0,72.0
128000.0,0.0
187000.0,80.0
251000.0,69.0
129000.0,81.0
202000.0,79.0
132000.0,67.0
181000.0,80.0
123000.0,77.0
147000.0,12.0
325000.0,76.0
155000.0,79.0
173000.0,75.0
221000.0,71.0
175000.0,67.0
166000.0,81.0
192000.0,32.0
208000.0,71.0
247000.0,64.0
164000.0,76.0
261000.0,80.0
169000.0,22.0
205000.0,0.0
210000.0,79.0
183000.0,68.0
189000.0,75.0
188000.0,76.0
522000.0,0.0
353000.0,75.0
187000.0,76.0
132000.0,76.0
207000.0,73.0
174000.0,82.0
111000.0,78.0
237000.0,65.0
212000.0,69.0
186000.0,69.0
197000.0,12.0
161000.0,69.0
231000.0,0.0
203000.0,70.0
132000.0,0.0
154000.0,74.0
233000.0,78.0
194000.0,73.0
194000.0,74.0
215000.0,71.0
124000.0,52.0
206000.0,68.0
172000.0,70.0
190000.0,61.0
174000.0,79.0
145000.0,74.0
217000.0,76.0
305000.0,80.0
243000.0,82.0
204000.0,67.0
229000.0,70.0
220000.0,68.0
257000.0,67.0
168000.0,0.0
207000.0,71.0
172000.0,71.0
201000.0,74.0
182000.0,24.0
196000.0,65.0
179000.0,75.0
202000.0,77.0
180000.0,74.0
215000.0,75.0
173000.0,73.0
210000.0,78.0
189000.0,70.0
258000.0,66.0
215000.0,75.0
211000.0,70.0
208000.0,62.0
193000.0,71.0
134000.0,0.0
201000.0,78.0
239000.0,78.0
199000.0,80.0
166000.0,69.0
149000.0,87.0
219000.0,74.0
219000.0,78.0
209000.0,69.0
213000.0,74.0
181000.0,73.0
199000.0,71.0
226000.0,0.0
232000.0,79.0
168000.0,66.0
335000.0,84.0
176000.0,64.0
223000.0,49.0
204000.0,77.0
203000.0,70.0
216000.0,77.0
